DAY ALG SFRAC POP Y TC
 1 1 1 1  11 111
 1 1 1 2  22 112
 1 1 1 3  38 113
 1 1 2 1  11 121
 1 1 2 2  27 122
 1 1 2 3  39 123
 1 1 3 1  16 131
 1 1 3 2  28 132
 1 1 3 3  44 133
 1 2 1 1  17 211
 1 2 1 2  49 212
 1 2 1 3  77 213
 1 2 2 1  22 221
 1 2 2 2  66 222
 1 2 2 3 116 223
 1 2 3 1  33 231
 1 2 3 2  88 232
 1 2 3 3 148 233
 2 1 1 1   5 111
 2 1 1 2  22 112
 2 1 1 3  33 113
 2 1 2 1  17 121
 2 1 2 2  21 122
 2 1 2 3  44 123
 2 1 3 1  11 131
 2 1 3 2  33 132
 2 1 3 3  44 133
 2 2 1 1  17 211
 2 2 1 2  44 212
 2 2 1 3  82 213
 2 2 2 1  22 221
 2 2 2 2  72 222
 2 2 2 3 116 223
 2 2 3 1  28 231
 2 2 3 2  88 232
 2 2 3 3 148 233
