BLOCK A B C D COUNT
1 1 0 1 0  183
1 1 1 1 1  350
1 0 1 1 0  188
1 0 0 0 0  881
1 1 1 0 0  225
1 0 1 0 1  298
1 0 0 1 1 1039
1 1 0 0 1  466
2 0 0 1 0  650
2 0 0 0 1 1180
2 0 1 1 1  238
2 1 0 0 0  191
2 1 1 0 1  420
2 0 1 0 0  289
2 1 1 1 0  135
2 1 0 1 1  781
3 0 1 0 1  273
3 1 0 0 1  890
3 1 1 0 0  370
3 0 0 0 0  834
3 1 0 1 0  193
3 1 1 1 1  389
3 0 1 1 0  163
3 0 0 1 1 1146
4 0 0 0 1 1193
4 1 1 1 0  156
4 1 0 0 0  257
4 0 1 0 0  178
4 0 1 1 1  254
4 1 0 1 1  775
4 0 0 1 0  494
4 1 1 0 1  429
