POSITION TRTMT PCTMELT SALT SUGAR FP
 1  2    12.06  1  2   4
 2  5     9.66  2  2   1                                                     
 3  5     7.96  2  2   1                                                     
 4  1     9.04  1  1   5                                                     
 5  4    10.17  2  1   3                                                     
 6  3     7.86  1  3   2                                                     
 7  4     8.14  2  1   3                                                     
 8  1     9.52  1  1   5                                                     
 9  3     4.28  1  3   2                                                     
 10 1     8.32  1  1   5                                                     
 11 2    10.74  1  2   4                                                     
 12 4     5.98  2  1   3                                                     
 13 2     9.84  1  2   4                                                     
 14 6     7.58  2  3   1                                                     
 15 6     6.65  2  3   1                                                     
 16 3     9.26  1  3   2                                                     
 17 6     8.46  2  3   1                                                     
 18 5    12.83  2  2   6          
