BLOCK TRTMT Y BASE ADDITIVE
 1  3 13  1 1
 1  8 20  2 0
 1  4  7  1 0
 2  4  6  1 0
 2  9 29  3 0
 2  2 17  1 2
 3  3 15  1 1
 3  6 23  2 2
 3  9 31  3 0
 4  9 31  3 0
 4  5 26  2 3
 4  1 20  1 3
 5  2 16  1 2
 5  7 21  2 1
 5  6 23  2 2
 6  6 23  2 2
 6  5 26  2 3
 6  4  6  1 0
 7  9 28  3 0
 7  8 19  2 0
 7  7 21  2 1
 8  7 20  2 1
 8  1 20  1 3
 8  4  7  1 0
 9  6 24  2 2
 9  8 19  2 0
 9  1 20  1 3
10  5 26  2 3
10  8 19  2 0
10  2 17  1 2
11  5 24  2 3
11  3 14  1 1
11  7 21  2 1
12  3 11  1 1
12  2 17  1 2
12  1 19  1 3
