DAY SUBJECT DURAT SPEED PEDAL PULSE TC
 1 1 1 1 2 45 112
 2 1 2 2 2 27 222
 3 1 2 1 2 40 212
 4 1 2 2 1 17 221
 5 1 2 1 1 30 211
 6 1 1 2 2 29 122
 7 1 1 1 1 34 111
 8 1 1 2 1 21 121
 1 2 2 1 2 25 212
 2 2 2 1 1 20 211
 3 2 2 2 2 23 222
 4 2 1 1 2 32 112
 5 2 1 1 1 36 111
 6 2 2 2 1 13 221
 7 2 1 2 1 18 121
 8 2 1 2 2 22 122
 1 3 2 2 1 18 221
 2 3 2 1 2 32 212
 3 3 1 1 2 28 112
 4 3 1 2 2 24 122
 5 3 2 2 2 20 222
 6 3 1 2 1 20 121
 7 3 2 1 1 25 211
 8 3 1 1 1 34 111
