  A  B  C  D  E  F DAY Y
  0  0  0  0  0  0  1 519
  0  0  0  0  0  0  2 446
  0  0  0  0  0  0  3 337
  0  0  0  0  0  0  4 415
  0  0  0  0  1  1  1 503
  0  0  0  0  1  1  2 468
  0  0  0  0  1  1  3 343
  0  0  0  0  1  1  4 418
  0  0  1  1  0  1  1 567
  0  0  1  1  0  1  2 471
  0  0  1  1  0  1  3 355
  0  0  1  1  0  1  4 424
  0  0  1  1  1  0  1 552
  0  0  1  1  1  0  2 489
  0  0  1  1  1  0  3 361
  0  0  1  1  1  0  4 425
  0  1  0  1  0  1  1 534
  0  1  0  1  0  1  2 466
  0  1  0  1  0  1  3 356
  0  1  0  1  0  1  4 431
  0  1  0  1  1  0  1 549
  0  1  0  1  1  0  2 461
  0  1  0  1  1  0  3 354
  0  1  0  1  1  0  4 427
  0  1  1  0  0  0  1 560
  0  1  1  0  0  0  2 480
  0  1  1  0  0  0  3 345
  0  1  1  0  0  0  4 437
  0  1  1  0  1  1  1 535
  0  1  1  0  1  1  2 477
  0  1  1  0  1  1  3 363
  0  1  1  0  1  1  4 418
  1  0  0  1  0  0  1 558
  1  0  0  1  0  0  2 483
  1  0  0  1  0  0  3 376
  1  0  0  1  0  0  4 418
  1  0  0  1  1  1  1 551
  1  0  0  1  1  1  2 472
  1  0  0  1  1  1  3 349
  1  0  0  1  1  1  4 426
  1  0  1  0  0  1  1 576
  1  0  1  0  0  1  2 487
  1  0  1  0  0  1  3 358
  1  0  1  0  0  1  4 434
  1  0  1  0  1  0  1 569
  1  0  1  0  1  0  2 494
  1  0  1  0  1  0  3 357
  1  0  1  0  1  0  4 444
  1  1  0  0  0  1  1 562
  1  1  0  0  0  1  2 474
  1  1  0  0  0  1  3 358
  1  1  0  0  0  1  4 404
  1  1  0  0  1  0  1 569
  1  1  0  0  1  0  2 494
  1  1  0  0  1  0  3 348
  1  1  0  0  1  0  4 400
  1  1  1  1  0  0  1 568
  1  1  1  1  0  0  2 478
  1  1  1  1  0  0  3 367
  1  1  1  1  0  0  4 463
  1  1  1  1  1  1  1 551
  1  1  1  1  1  1  2 500
  1  1  1  1  1  1  3 373
  1  1  1  1  1  1  4 462
