BLOCK A B C D E F G  LOGS 
1   0 0 0 0 0 0 0    0.7044
1   1 0 1 0 0 0 0    0.5907
1   0 0 1 0 0 0 1   -0.0297
1   1 0 0 0 0 0 1    0.3914
1   0 1 0 1 0 0 0    0.0792
1   1 1 1 1 0 0 0    0.3228
1   0 1 1 1 0 0 1   -0.1599
1   1 1 0 1 0 0 1   -0.0996
1   0 0 0 1 1 0 0    0.5878
1   1 0 1 1 1 0 0    0.3577
1   0 0 1 1 1 0 1    0.1847
1   1 0 0 1 1 0 1    0.5706
1   0 1 0 0 1 0 0   -0.1805
1   1 1 1 0 1 0 0   -0.3224
1   0 1 1 0 1 0 1   -0.1433
1   1 1 0 0 1 0 1    0.1354
2   1 1 0 0 0 0 0    0.0561
2   0 1 1 0 0 0 0    0.3615
2   1 1 1 0 0 0 1   -0.1158
2   0 1 0 0 0 0 1   -0.1952
2   1 0 0 1 0 0 0    0.4585
2   0 0 1 1 0 0 0    0.2531
2   1 0 1 1 0 0 1    0.2727
2   0 0 0 1 0 0 1    0.6861
2   1 1 0 1 1 0 0   -0.0074
2   0 1 1 1 1 0 0   -0.2328
2   1 1 1 1 1 0 1   -0.1046
2   0 1 0 1 1 0 1   -0.2069
2   1 0 0 0 1 0 0    0.8051
2   0 0 1 0 1 0 0    0.4634
2   1 0 1 0 1 0 1    0.2904
2   0 0 0 0 1 0 1    0.4692
3   0 1 0 0 0 1 0   -0.6760
3   1 1 1 0 0 1 0   -0.3824
3   0 1 1 0 0 1 1   -0.2996
3   1 1 0 0 0 1 1   -0.4539
3   0 0 0 1 0 1 0    0.2970
3   1 0 1 1 0 1 0    0.1646
3   0 0 1 1 0 1 1    0.3878
3   1 0 0 1 0 1 1    0.2168
3   0 1 0 1 1 1 0    0.0148
3   1 1 1 1 1 1 0   -0.4898
3   0 1 1 1 1 1 1    0.1308
3   1 1 0 1 1 1 1   -0.1829
3   0 0 0 0 1 1 0    0.0182
3   1 0 1 0 1 1 0    0.2070
3   0 0 1 0 1 1 1    0.1101
3   1 0 0 0 1 1 1    0.2642
4   1 0 0 0 0 1 0    0.5457
4   0 0 1 0 0 1 0    0.0846
4   1 0 1 0 0 1 1    0.4453
4   0 0 0 0 0 1 1    0.2361
4   1 1 0 1 0 1 0   -0.5069
4   0 1 1 1 0 1 0   -0.3299
4   1 1 1 1 0 1 1   -0.3245
4   0 1 0 1 0 1 1   -0.3233
4   1 0 0 1 1 1 0    0.4199
4   0 0 1 1 1 1 0    0.2957
4   1 0 1 1 1 1 1    0.2278
4   0 0 0 1 1 1 1    0.4269
4   1 1 0 0 1 1 0   -0.4798
4   0 1 1 0 1 1 0   -0.0669
4   1 1 1 0 1 1 1   -0.0584
4   0 1 0 0 1 1 1   -0.6856
