A B C D E F G    H  P  J  K  L  M  N   Y
0 0 0 0 0 0 0    0  0  0  0  0  0  0  0.62
0 0 0 0 0 0 0    0  0  0  1  1  1  1  3.54
0 0 0 0 0 0 0    0  1  1  0  0  1  1  3.56
0 0 0 0 0 0 0    0  1  1  1  1  0  0  0.62
0 0 0 0 0 0 0    1  0  1  0  1  0  1  3.09
0 0 0 0 0 0 0    1  0  1  1  0  1  0  0.71
0 0 0 0 0 0 0    1  1  0  0  1  1  0  0.73
0 0 0 0 0 0 0    1  1  0  1  0  0  1  3.20
0 0 1 1 1 1 1    0  0  0  0  0  0  0  0.59
0 0 1 1 1 1 1    0  0  0  1  1  1  1  3.11
0 0 1 1 1 1 1    0  1  1  0  0  1  1  3.11
0 0 1 1 1 1 1    0  1  1  1  1  0  0  0.59
0 0 1 1 1 1 1    1  0  1  0  1  0  1  2.98
0 0 1 1 1 1 1    1  0  1  1  0  1  0  0.63
0 0 1 1 1 1 1    1  1  0  0  1  1  0  0.64
0 0 1 1 1 1 1    1  1  0  1  0  0  1  3.02
0 0 2 2 2 2 2    0  0  0  0  0  0  0  0.59
0 0 2 2 2 2 2    0  0  0  1  1  1  1  3.01
0 0 2 2 2 2 2    0  1  1  0  0  1  1  3.02
0 0 2 2 2 2 2    0  1  1  1  1  0  0  0.59
0 0 2 2 2 2 2    1  0  1  0  1  0  1  2.97
0 0 2 2 2 2 2    1  0  1  1  0  1  0  0.61
0 0 2 2 2 2 2    1  1  0  0  1  1  0  0.62
0 0 2 2 2 2 2    1  1  0  1  0  0  1  3.00
0 1 0 1 1 2 2    0  0  0  0  0  0  0  0.51
0 1 0 1 1 2 2    0  0  0  1  1  1  1  2.65
0 1 0 1 1 2 2    0  1  1  0  0  1  1  2.65
0 1 0 1 1 2 2    0  1  1  1  1  0  0  0.50
0 1 0 1 1 2 2    1  0  1  0  1  0  1  2.53
0 1 0 1 1 2 2    1  0  1  1  0  1  0  0.53
0 1 0 1 1 2 2    1  1  0  0  1  1  0  0.54
0 1 0 1 1 2 2    1  1  0  1  0  0  1  2.56
0 1 1 2 2 0 0    0  0  0  0  0  0  0  0.18
0 1 1 2 2 0 0    0  0  0  1  1  1  1  0.96
0 1 1 2 2 0 0    0  1  1  0  0  1  1  0.96
0 1 1 2 2 0 0    0  1  1  1  1  0  0  0.18
0 1 1 2 2 0 0    1  0  1  0  1  0  1  0.89
0 1 1 2 2 0 0    1  0  1  1  0  1  0  0.19
0 1 1 2 2 0 0    1  1  0  0  1  1  0  0.20
0 1 1 2 2 0 0    1  1  0  1  0  0  1  0.90
0 1 2 0 0 1 1    0  0  0  0  0  0  0  1.88
0 1 2 0 0 1 1    0  0  0  1  1  1  1  9.58
0 1 2 0 0 1 1    0  1  1  0  0  1  1  9.55
0 1 2 0 0 1 1    0  1  1  1  1  0  0  1.85
0 1 2 0 0 1 1    1  0  1  0  1  0  1  9.30
0 1 2 0 0 1 1    1  0  1  1  0  1  0  1.92
0 1 2 0 0 1 1    1  1  0  0  1  1  0  1.94
0 1 2 0 0 1 1    1  1  0  1  0  0  1  9.48
0 2 0 2 2 1 1    0  0  0  0  0  0  0  0.19
0 2 0 2 2 1 1    0  0  0  1  1  1  1  1.03
0 2 0 2 2 1 1    0  1  1  0  0  1  1  1.03
0 2 0 2 2 1 1    0  1  1  1  1  0  0  0.19
0 2 0 2 2 1 1    1  0  1  0  1  0  1  0.97
0 2 0 2 2 1 1    1  0  1  1  0  1  0  0.21
0 2 0 2 2 1 1    1  1  0  0  1  1  0  0.21
