      BLOCK A  B  C  D  E  F  G  H  J  K  L  M  N    Y1  Y2
      2     0  0  0  0  1  1  1  1  1  0  0  0  0  1511 1506 
      1     1  0  0  0  0  0  1  1  1  1  1  1  0   375  370 
      1     0  1  0  0  1  1  0  0  1  1  1  0  1   392  392 
      2     1  1  0  0  0  0  0  0  1  0  0  1  1   523  520 
      1     0  0  1  0  0  1  0  1  0  1  0  1  1   481  479 
      2     1  0  1  0  1  0  0  1  0  0  1  0  1  2238 2230 
      2     0  1  1  0  0  1  1  0  0  0  1  1  0   550  551 
      1     1  1  1  0  1  0  1  0  0  1  0  0  0   546  542 
      1     0  0  0  1  1  0  1  0  0  0  1  1  1   369  367 
      2     1  0  0  1  0  1  1  0  0  1  0  0  1  2242 2243 
      2     0  1  0  1  1  0  0  1  0  1  0  1  0   584  592 
      1     1  1  0  1  0  1  0  1  0  0  1  0  0   446  447 
      2     0  0  1  1  0  0  0  0  1  1  1  0  0  1776 1782 
      1     1  0  1  1  1  1  0  0  1  0  0  1  0  1053 1059 
      1     0  1  1  1  0  0  1  1  1  0  0  0  1   462  463 
      2     1  1  1  1  1  1  1  1  1  1  1  1  1   582  582 
