             WATTG    CAPCTY    BRAND    TRTMT    RESIST    ORDER
               1         1        1        1        314       12 
               1         1        2        2        285        3 
               1         1        3        3        350        6 
               1         2        1        4        523        2 
               1         2        2        5        460        1 
               1         2        3        6        482        7 
               1         1        1        1        300       13 
               1         1        2        2        296        9 
               1         1        3        3        339        8 
               1         2        1        4        497        4 
               1         2        2        5        470        5 
               1         2        3        6        498       11 
               1         1        1        1        310       15 
               1         1        2        2        301       10 
               1         1        3        3        360       14 
               1         2        1        4        520       18 
               1         2        2        5        488       17 
               1         2        3        6        505       19 
               1         1        1        1        290       22 
               1         1        2        2        292       24 
               1         1        3        3        333       16 
               1         2        1        4        510       20 
               1         2        2        5        468       21 
               1         2        3        6        490       23 
               2         1        1        1        214       28 
               2         1        2        2        196       27 
               2         1        3        3        235       42 
               2         2        1        4        303       26 
               2         2        2        5        341       32 
               2         2        3        6        342       25 
               2         1        1        1        205       31 
               2         1        2        2        201       29 
               2         1        3        3        247       44 
               2         2        1        4        319       30 
               2         2        2        5        350       38 
               2         2        3        6        347       33 
               2         1        1        1        197       35 
               2         1        2        2        197       39 
               2         1        3        3        233       46 
               2         2        1        4        305       34 
               2         2        2        5        323       41 
               2         2        3        6        352       37 
               2         1        1        1        204       47 
               2         1        2        2        215       40 
               2         1        3        3        244       48 
               2         2        1        4        316       36 
               2         2        2        5        343       45 
               2         2        3        6        323       43 
