BLOCK A B C D E Y
 1 0 1 1 0 1  844
 1 0 0 0 1 1 1104
 1 1 0 1 0 0 1156
 1 1 1 1 1 1 1508
 1 1 1 0 1 0 1312
 1 0 0 1 1 0 1000
 1 1 0 0 0 1 1176
 1 0 1 0 0 0  888
 2 0 0 0 0 1 1248
 2 0 1 1 1 1 1100
 2 0 0 1 0 0  784
 2 1 0 0 1 1 1376
 2 1 1 1 0 1 1356
 2 1 0 1 1 0 1376
 2 1 1 0 0 0 1008
 2 0 1 0 1 0  964
 3 0 0 1 0 1  896
 3 1 1 0 0 1 1284
 3 0 1 0 1 1  996
 3 0 1 1 1 0  860
 3 1 0 0 1 0 1184
 3 1 1 1 0 0  984
 3 0 0 0 0 0  740
 3 1 0 1 1 1 1468
 4 1 0 1 0 1 1328
 4 1 1 1 1 0 1292
 4 0 0 1 1 1 1008
 4 1 1 0 1 1 1324
 4 0 1 0 0 1 1008
 4 0 1 1 0 0  692
 4 0 0 0 1 0  780
 4 1 0 0 0 0 1108
