ORDER WATER MAT LENGTH TRTMT
  14 1 1  1.5 1
  15 1 1  1.1 1
  18 1 1  1.3 1
  30 1 1  0.9 1
  35 1 1  8.5 1
  39 1 1 10.6 1
  42 1 1  3.5 1
  43 1 1  7.4 1
   3 1 2  0.0 2
   4 1 2  0.6 2
   7 1 2  9.5 2
  12 1 2 11.3 2
  17 1 2 12.6 2
  27 1 2  8.1 2
  29 1 2  7.8 2
  37 1 2  7.3 2
  16 2 1  5.2 3
  23 2 1  0.4 3
  31 2 1  3.6 3
  36 2 1  2.8 3
  45 2 1 12.3 3
  46 2 1 14.1 3
  47 2 1  0.3 3
  48 2 1  1.8 3
   1 2 2 13.2 4
  11 2 2 14.8 4
  13 2 2 10.7 4
  20 2 2 13.8 4
  24 2 2  9.6 4
  34 2 2  0.0 4
  40 2 2  0.6 4
  44 2 2  8.2 4
   5 3 1  5.1 5
  21 3 1  3.3 5
  26 3 1  0.2 5
  28 3 1  3.9 5
  32 3 1  7.0 5
  33 3 1  9.5 5
  38 3 1 11.1 5
  41 3 1  6.2 5
   2 3 2 11.6 6
   6 3 2  2.3 6
   8 3 2  6.7 6
   9 3 2  2.5 6
  10 3 2 10.6 6
  19 3 2 10.8 6
  22 3 2 15.9 6
  25 3 2  9.0 6
