BLOCK WP A B Y
1 1 2 0 105
1 1 2 1 140
1 1 2 2 118
1 1 2 3 156
1 2 0 0 111
1 2 0 1 130
1 2 0 2 157
1 2 0 3 174
1 3 1 0 117
1 3 1 1 114
1 3 1 2 161
1 3 1 3 141
2 4 2 0  63
2 4 2 1  70
2 4 2 2 109
2 4 2 3  99
2 5 1 0  80
2 5 1 1  82
2 5 1 2  94
2 5 1 3 126
2 6 0 0  62
2 6 0 1  90
2 6 0 2 100
2 6 0 3 116
3 7 2 0  70
3 7 2 1  89
3 7 2 2 104
3 7 2 3 117
3 8 0 0  74
3 8 0 1  89
3 8 0 2  81
3 8 0 3 122
3 9 1 0  64
3 9 1 1 103
3 9 1 2 132
3 9 1 3 133
4 10 1 0  60
4 10 1 1 102
4 10 1 2  89
4 10 1 3  96
4 11 0 0  68
4 11 0 1  64 
4 11 0 2 112
4 11 0 3  86
4 12 2 0  89
4 12 2 1 129
4 12 2 2 132
4 12 2 3 124
5 13 1 0  70
5 13 1 1 108
5 13 1 2 126
5 13 1 3 149
5 14 2 0  96
5 14 2 1 124
5 14 2 2 121
5 14 2 3 144
5 15 0 0  61
5 15 0 1  91
5 15 0 2  97
5 15 0 3 100
6 16 0 0  53
6 16 0 1  74
6 16 0 2 118
6 16 0 3 113
6 17 1 0  89
6 17 1 1  82
6 17 1 2  86
6 17 1 3 104
6 18 2 0  97
6 18 2 1  99
6 18 2 2 119
6 18 2 3 121
