 A B C D E F   y
 1 0 1 0 0 0 1.09
 1 0 1 0 0 0 1.12
 1 0 1 0 0 0 0.83
 1 0 1 0 0 0 0.88
 0 0 1 0 1 1 1.62
 0 0 1 0 1 1 1.49
 0 0 1 0 1 1 1.48
 0 0 1 0 1 1 1.59
 1 1 0 0 0 1 0.88
 1 1 0 0 0 1 1.29
 1 1 0 0 0 1 1.04
 1 1 0 0 0 1 1.31
 0 1 0 0 1 0 1.83
 0 1 0 0 1 0 1.65
 0 1 0 0 1 0 1.71
 0 1 0 0 1 0 1.76
 0 0 0 1 0 1 1.46
 0 0 0 1 0 1 1.51
 0 0 0 1 0 1 1.59
 0 0 0 1 0 1 1.40
 1 0 0 1 1 0 0.74
 1 0 0 1 1 0 0.98
 1 0 0 1 1 0 0.79
 1 0 0 1 1 0 0.83
 0 1 1 1 0 0 2.05
 0 1 1 1 0 0 2.17
 0 1 1 1 0 0 2.36
 0 1 1 1 0 0 2.12
 1 1 1 1 1 1 1.51
 1 1 1 1 1 1 1.46
 1 1 1 1 1 1 1.42
 1 1 1 1 1 1 1.40
