        PUSHES TIME
            0 38.14
            0 38.20
            0 38.31
            0 38.14
            0 38.29
            0 38.17
            0 38.20
            1 38.28
            1 38.17
            1 38.08
            1 38.25
            1 38.18
            1 38.03
            1 37.95
            1 38.26
            1 38.30
            1 38.21
            2 38.17
            2 38.13
            2 38.16
            2 38.30
            2 38.34
            2 38.34
            2 38.17
            2 38.18
            2 38.09
            2 38.06
            3 38.14
            3 38.30
            3 38.21
            3 38.04
            3 38.37
