BLOCK A B C D E    YIELD
 1    0 0 0 0 0      142
 2    0 0 0 0 1      106
 1    0 0 0 1 1      101
 2    0 0 0 1 0      148
 1    0 0 1 0 1      113
 2    0 0 1 0 0      185
 1    0 0 1 1 0      200
 2    0 0 1 1 1      130
 1    0 1 0 0 1       88
 2    0 1 0 0 0      129
 1    0 1 0 1 0      146
 2    0 1 0 1 1      140
 1    0 1 1 0 0      200
 2    0 1 1 0 1      166
 1    0 1 1 1 1      145
 2    0 1 1 1 0      215
 1    1 0 0 0 1      106
 2    1 0 0 0 0      114
 1    1 0 0 1 0      108
 2    1 0 0 1 1      114
 1    1 0 1 0 0      162
 2    1 0 1 0 1       88
 1    1 0 1 1 1       83
 2    1 0 1 1 0      164
 1    1 1 0 0 0      109
 2    1 1 0 0 1       98
 1    1 1 0 1 1       72
 2    1 1 0 1 0      195
 1    1 1 1 0 1       79
 2    1 1 1 0 0      172
 1    1 1 1 1 0      118
 2    1 1 1 1 1      110
