      OBS    SUBJ    ORDER    TRTMT    NUMBER    COLOR     Y    COUNT
        1      1       1        6         2        3      25       4 
        2      1       2        5         2        2      32      -3 
        3      1       3        1         1        1      17       0 
        4      1       4        2         1        2      20      -3 
        5      1       5        8         3        2      42      -1 
        6      1       6        3         1        3      20      -3 
        7      1       7        7         3        1      47      -6 
        8      1       8        9         3        3      50      -9 
        9      1       9        4         2        1      30      -1 
       10      2       1        2         1        2      15       2 
       11      2       2        7         3        1      25      16 
       12      2       3        8         3        2      20      21 
       13      2       4        4         2        1      20       9 
       14      2       5        5         2        2      25       4 
       15      2       6        9         3        3      25      16 
       16      2       7        6         2        3      20       9 
       17      2       8        1         1        1      15       2 
       18      2       9        3         1        3      15       2 
       19      3       1        4         2        1      25       4 
       20      3       2        6         2        3      30      -1 
       21      3       3        2         1        2      10       7 
       22      3       4        3         1        3      22      -5 
       23      3       5        9         3        3      42      -1 
       24      3       6        1         1        1      30     -13 
       25      3       7        8         3        2      50      -9 
       26      3       8        7         3        1      60     -19 
       27      3       9        5         2        2      45     -16 
       28      4       1        8         3        2      20      21 
       29      4       2        2         1        2      13       4 
       30      4       3        5         2        2      26       3 
       31      4       4        7         3        1      30      11 
       32      4       5        3         1        3      17       0 
       33      4       6        4         2        1      25       4 
       34      4       7        1         1        1      17       0 
       35      4       8        6         2        3      25       4 
       36      4       9        9         3        3      30      11 
       37      5       1        7         3        1      34       7 
       38      5       2        1         1        1      19      -2 
       39      5       3        4         2        1      27       2 
       40      5       4        9         3        3      38       3 
       41      5       5        2         1        2      20      -3 
       42      5       6        6         2        3      26       3 
       43      5       7        3         1        3      21      -4 
       44      5       8        5         2        2      34      -5 
       45      5       9        8         3        2      48      -7 
       46      6       1        1         1        1      14       3 
       47      6       2        9         3        3      34       7 
       48      6       3        7         3        1      27      14 
       49      6       4        6         2        3      18      11 
       50      6       5        4         2        1      17      12 
       51      6       6        8         3        2      24      17 
       52      6       7        5         2        2      19      10 
       53      6       8        3         1        3      12       5 
       54      6       9        2         1        2      17       0 
       55      7       1        5         2        2      18      11 
       56      7       2        4         2        1      15      14 
       57      7       3        3         1        3      17       0 
       58      7       4        1         1        1      16       1 
       59      7       5        7         3        1      25      16 
       60      7       6        2         1        2      16       1 
       61      7       7        9         3        3      28      13 
       62      7       8        8         3        2      27      14 
