BLOCK SALT TEMP
1  0 97.9
1  0 97.3
1  0 97.1
1  8 97.0 
1  8 96.3
1  8 97.3
1 16 97.8
1 16 97.6
1 16 97.9
1 24 98.6
1 24 98.0
1 24 98.4
1 32 98.8
1 32 98.8
1 32 98.9
2  0 97.5
2  0 97.2
2  0 97.7
2  8 97.1
2  8 97.1
2  8 97.4
2 16 97.5
2 16 97.2
2 16 97.6
2 24 98.7
2 24 97.9
2 24 98.4
2 32 98.8
2 32 98.3
2 32 98.8
3  0 97.4
3  0 97.4
3  0 97.5
3  8 97.8
3  8 96.9
3  8 97.6
3 16 98.0
3 16 97.7
3 16 97.6
3 24 98.6
3 24 98.0
3 24 98.1
3 32 98.9
3 32 98.8
3 32 98.9
