 BLOCK HEIGHT FREQ TRTMT PULSE
 1 1 2 12  75
 1 1 3 13  87
 1 2 1 21  84
 1 2 2 22  93
 1 2 3 23  99
 2 1 1 11  93
 2 1 2 12  84
 2 1 3 13  96
 2 2 1 21  90
 2 2 2 22 108
 3 1 1 11  99
 3 1 2 12  93
 3 1 3 13  96
 3 2 2 22 123
 3 2 3 23 129
 4 1 1 11  99
 4 1 2 12 108
 4 1 3 13  99
 4 2 1 21  99
 4 2 3 23 120
 5 1 1 11  99
 5 1 3 13 111
 5 2 1 21  90
 5 2 2 22 129
 5 2 3 23 141
 6 1 1 11 129
 6 1 2 12 135
 6 2 1 21 120
 6 2 2 22 147
 6 2 3 23 153 
