BLOCK N P K  Y
 1 2 1 1    2575
 1 1 2 0    2472
 1 2 0 0    2411
 1 0 0 2    2403
 1 0 1 0    2220 
 1 0 2 1    2252
 1 1 0 1    2295
 1 1 1 2    2362
 1 2 2 2    2434
 2 1 2 1    2599
 2 2 2 0    2517
 2 0 2 2    2411
 2 1 1 0    2252
 2 2 1 2    2381
 2 2 0 1    2067
 2 1 0 2    2021
 2 0 1 1    1953
 2 0 0 0    1989
 3 2 0 2    2189
 3 0 2 0    2093
 3 2 1 0    2354
 3 1 1 1    2268
 3 0 0 1    1926
 3 1 2 2    2152
 3 2 2 1    2349
 3 0 1 2    2025
 3 1 0 0    2106
